Date,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,,,,,,,,
09/13/1993,112,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
09/14/1993,139,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
09/15/1993,103,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
09/16/1993,61,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
09/17/1993,46,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
09/18/1993,33,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
09/19/1993,43,,,42-101-0022,AQS,,,,,,,,
09/20/1993,69,,,10-003-3001,AQS,,,,,,,,
09/21/1993,29,,,42-101-0023,AQS,,,,,,,,
09/22/1993,43,,,42-101-0022,AQS,,,,,,,,
09/23/1993,116,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
09/24/1993,43,,,42-101-0022,AQS,,,,,,,,
09/25/1993,75,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
09/26/1993,56,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
09/27/1993,43,,,42-101-0022,AQS,,,,,,,,
09/28/1993,81,,,42-101-0022,AQS,,,,,,,,
09/29/1993,89,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
09/30/1993,29,,,42-101-0022,AQS,,,,,,,,
10/01/1993,65,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
10/02/1993,64,,,10-003-3001,AQS,,,,,,,,
10/03/1993,130,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
10/04/1993,116,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
10/05/1993,43,,,42-101-0022,AQS,,,,,,,,
10/06/1993,92,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
10/07/1993,200,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
